,Method,Season:DJF,Season:JJA,Season:MAM,Season:SON,Year
RMSE,Swin2SR F.,0.91,0.96,0.89,0.89,0.92
RMSE,Swin2SR P.,0.99,1.03,0.95,0.95,0.98
RMSE,Swin2SR T.,0.99,1.03,0.95,0.95,0.98
MSE,Swin2SR F.,0.89,1.02,0.84,0.85,0.9
MSE,Swin2SR P.,1.04,1.16,0.95,0.97,1.03
MSE,Swin2SR T.,1.04,1.16,0.96,0.96,1.03
MAE,Swin2SR F.,0.68,0.72,0.66,0.67,0.68
MAE,Swin2SR P.,0.73,0.77,0.71,0.72,0.73
MAE,Swin2SR T.,0.74,0.78,0.71,0.71,0.73
Bias,Swin2SR F.,-0.02,-0.1,-0.02,-0.01,-0.04
Bias,Swin2SR P.,-0.06,-0.09,-0.04,-0.04,-0.06
Bias,Swin2SR T.,-0.05,-0.09,-0.04,-0.04,-0.06
SSIM,Swin2SR F.,0.87,0.9,0.91,0.9,0.89
SSIM,Swin2SR P.,0.84,0.89,0.89,0.89,0.88
SSIM,Swin2SR T.,0.84,0.89,0.89,0.88,0.88
PSNR,Swin2SR F.,28.93,28.97,29.38,29.03,29.08
PSNR,Swin2SR P.,28.15,28.39,28.73,28.69,28.49
PSNR,Swin2SR T.,28.24,28.42,28.81,28.71,28.55
